"","X1","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"273",1340,"Nusap1",173.1519105,3.665551182,0.982647137,3.730282258,0.000191265,0.003222065
"274",1345,"Duoxa1",483.1714173,4.009836897,0.466714967,8.59161839,8.58e-18,5.91e-14
"275",1346,"Duox1",325.0396139,4.834348096,0.768051782,6.294299695,3.09e-10,8.79e-08
"276",1348,"Dut",234.8867912,3.202733028,1.042811961,3.071246924,0.002131668,0.018937343
"277",1350,"Ncaph",95.61415386,2.554971923,0.920760702,2.774849009,0.005522734,0.037928627
"278",1354,"Bub1",105.6230487,6.049979424,1.316612652,4.595109591,4.33e-06,0.000187541
"279",1358,"Tgm3",2466.705245,2.433359719,0.820575007,2.965432409,0.003022578,0.024488136
"280",1368,"Thbd",737.9001864,6.370116805,0.833220704,7.645173447,2.09e-14,3.21e-11
"281",1371,"Tpx2",234.0471775,2.659122951,0.764446518,3.478494426,0.000504239,0.006674977
"282",1380,"Rbl1",355.0120202,2.283491465,0.513209178,4.449436141,8.61e-06,0.000312078
"283",1383,"Ada",296.6349931,4.737587185,0.929882032,5.094826035,3.49e-07,2.59e-05
