"","X1","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"226",455,"Gm11938",240.5528552,-8.785416195,2.566723175,-3.422814069,0.000619765,0.007583727
"227",456,"Gm11937",86.85778887,-7.449908316,2.598711494,-2.866770064,0.004146842,0.030626051
"228",457,"Krtap2-4",373.6713088,-9.850182159,2.244476484,-4.388632373,1.14e-05,0.000386992
"229",458,"Gm11562",274.9261109,-10.32935636,2.022600861,-5.106967252,3.27e-07,2.5e-05
"230",459,"Krtap4-1",639.1217933,-9.455261447,2.795681751,-3.382095063,0.000719352,0.008491343
"231",460,"Krtap4-2",384.8531554,-9.222756511,2.401129207,-3.841008007,0.00012253,0.002319169
"232",461,"Krtap4-7",483.4030514,-10.13440593,2.437192133,-4.158230198,3.21e-05,0.000869345
"233",462,"Gm11563",589.6708789,-9.601324019,2.269884982,-4.229872481,2.34e-05,0.000669206
"234",463,"Krtap4-6",198.4318983,-8.699012457,2.384137037,-3.648704887,0.000263566,0.004063243
"235",464,"Gm11595",327.0764419,-9.04214422,2.242251607,-4.032618012,5.52e-05,0.001278638
"236",465,"Krtap4-8",117.8180692,-8.447077974,1.889750034,-4.469944607,7.82e-06,0.000287672
"237",466,"Krtap4-9",176.2903244,-8.293985912,2.240690986,-3.701530449,0.000214303,0.003485314
"238",467,"Gm11596",97.99187238,-8.103553562,2.409948852,-3.362541722,0.000772285,0.008950385
"239",468,"Gm11554",159.8168942,-7.819238422,1.926552676,-4.058668376,4.94e-05,0.001179645
"240",469,"Gm11569",24.34357613,-8.841503769,1.68020158,-5.262168467,1.42e-07,1.32e-05
"241",470,"Krtap4-13",186.5239744,-8.035202322,2.05777148,-3.904807896,9.43e-05,0.001894126
"242",471,"Gm11564",72.19779998,-9.002074059,2.038950625,-4.415052502,1.01e-05,0.000353419
"243",472,"Krtap4-16",243.0114193,-9.681006706,2.62072791,-3.694014426,0.000220741,0.003565034
"244",473,"Gm11568",471.007268,-8.201270038,2.594350831,-3.161203158,0.001571189,0.01509225
"245",474,"Gm11559",585.2928665,-8.605757105,2.250208114,-3.824427194,0.000131076,0.00243593
"246",475,"Krtap9-1",158.5095695,-6.847336844,1.813912388,-3.774899432,0.000160072,0.002844104
"247",476,"Gm11567",476.2596887,-8.26889766,2.531141273,-3.266865325,0.001087454,0.011551339
"248",477,"Krtap16-1",162.0125961,-8.450425348,2.763505405,-3.057864599,0.002229203,0.019510602
"249",478,"Krtap17-1",130.835889,-8.823499136,1.819435964,-4.849579382,1.24e-06,7.09e-05
"250",479,"Krt33a",925.2703191,-8.017845032,2.376460712,-3.373859703,0.000741221,0.008685152
"251",480,"Krt33b",643.2244272,-8.407496141,2.289150337,-3.672758405,0.000239946,0.003782292
"252",481,"Krt34",1374.941192,-9.368453365,2.328641948,-4.023140343,5.74e-05,0.001323238
"253",482,"Krt31",473.1981647,-8.278049146,2.484482672,-3.331900536,0.000862551,0.009673008
"254",483,"Krt32",62.30416585,-4.23678066,1.466840324,-2.888372094,0.003872415,0.029274542
"255",484,"Krt36",17.54092494,-5.704824747,1.519902208,-3.753415659,0.000174441,0.003036226
"256",487,"Krt42",13.16009179,-4.947397296,1.364868877,-3.624815086,0.000289168,0.004387194
"257",488,"Cnp",62.32985639,-3.776832136,1.042839214,-3.621682122,0.000292694,0.004427085
"258",493,"Wnk4",42.5293536,-3.153755921,0.819760698,-3.847166529,0.000119492,0.002278497
"259",495,"Rdm1",207.4329216,-2.650557127,0.992153788,-2.671518429,0.007550893,0.047627787
"260",498,"Hdac5",1857.004978,-2.432439652,0.704340929,-3.453497522,0.000553367,0.007040317
"261",502,"Plcd3",645.2851361,-2.154281904,0.576009128,-3.74001348,0.00018401,0.003145779
"262",503,"Hexim2",29.97980759,-3.406169622,0.988273959,-3.446584411,0.000567721,0.007181322
"263",504,"Mapt",63.50912504,-3.821893429,1.025575226,-3.72658517,0.000194092,0.003240302
"264",506,"Itgb3",31.50034557,-5.893325629,1.779657054,-3.311495108,0.000927989,0.010201901
"265",509,"Prkca",80.9914877,-3.778192232,0.952503537,-3.966591288,7.29e-05,0.001573765
"266",510,"Rgs9",33.68986163,-3.399853594,0.885399442,-3.839909347,0.00012308,0.002323848
"267",511,"Arsg",33.16736363,-2.656288213,0.910630784,-2.916976077,0.003534429,0.027448528
"268",512,"Abca5",1802.867173,-3.178704656,0.92008545,-3.454792873,0.000550716,0.007024025
"269",513,"BC006965",51.87123033,-4.515420438,1.062143141,-4.251235323,2.13e-05,0.000624736
